[2024-08-29T19:07:58.041336+00:00] logger.CRITICAL: test [] []
[2024-08-29T19:08:45.837076+00:00] logger.CRITICAL: test [] []
%date% %level$ test%date% 500 test%date_time% CRITICAL test
%date_time% CRITICAL test
2024-09-12T15:05:00.659964+00:00 INFO Script has been started []
2024-09-12T15:05:10.688294+00:00 INFO Script has finished working []
2024-09-12T15:10:00.661286+00:00 INFO Script has been started []
2024-09-12T15:10:11.772843+00:00 INFO Script has finished working []
2024-09-12T15:15:00.662523+00:00 INFO Script has been started []
2024-09-12T15:15:30.572805+00:00 INFO Script has finished working []
2024-09-12T15:20:00.664398+00:00 INFO Script has been started []
2024-09-12T15:20:22.727602+00:00 INFO Script has finished working []
2024-09-12T15:25:00.666544+00:00 INFO Script has been started []
2024-09-12T15:25:16.341851+00:00 INFO Script has finished working []
2024-09-12T15:30:00.668818+00:00 INFO Script has been started []
2024-09-12T15:30:13.097321+00:00 INFO Script has finished working []
2024-09-12T15:35:00.671503+00:00 INFO Script has been started []
2024-09-12T15:35:19.675831+00:00 INFO Script has finished working []
2024-09-12T15:40:00.673504+00:00 INFO Script has been started []
2024-09-12T15:40:25.549039+00:00 INFO Script has finished working []
2024-09-12T15:45:00.674926+00:00 INFO Script has been started []
2024-09-12T15:45:26.356128+00:00 INFO Script has finished working []
2024-09-12T15:50:00.677493+00:00 INFO Script has been started []
2024-09-12T15:50:12.083317+00:00 INFO Script has finished working []
2024-09-12T15:55:00.679167+00:00 INFO Script has been started []
2024-09-12T15:55:19.349984+00:00 INFO Script has finished working []
2024-09-12T16:00:00.680803+00:00 INFO Script has been started []
2024-09-12T16:00:30.572619+00:00 INFO Script has finished working []
2024-09-12T16:05:00.682689+00:00 INFO Script has been started []
2024-09-12T16:05:29.781661+00:00 INFO Script has finished working []
2024-09-12T16:10:00.684681+00:00 INFO Script has been started []
2024-09-12T16:10:32.987943+00:00 INFO Script has finished working []
2024-09-12T16:15:00.687648+00:00 INFO Script has been started []
2024-09-12T16:15:17.925217+00:00 INFO Script has finished working []
2024-09-12T16:20:00.689368+00:00 INFO Script has been started []
2024-09-12T16:20:25.894434+00:00 INFO Script has finished working []
2024-09-12T16:25:00.691398+00:00 INFO Script has been started []
2024-09-12T16:25:17.461906+00:00 INFO Script has finished working []
